Standort;INSG;Innere_Medizin;Geriatrie;Kardiologie;Rheumatologie;Lungenheilkunde;Neurologie;Gefaesschirugie;Herzchirugie;Orthopaedie;Palliativ
Alsfeld;153;58;34;0;0;0;0;0;0;0;0
Bad Arolsen;409;80;0;0;0;0;0;0;0;0;0
Bad Camberg;64;0;0;0;0;0;0;0;0;0;0
Bad Emstal;151;0;0;0;0;0;0;0;0;0;0
Bad Endbach;168;0;63;0;0;0;0;0;0;0;0
Bad Hersfeld;629;6;40;73;0;0;52;21;0;40;0
Bad Homburg;492;1;25;0;0;0;54;14;0;0;8
Bad Homburg v. d. Höhe;89;0;0;0;0;0;0;0;0;0;0
Bad König;129;0;0;0;0;0;129;0;0;0;0
Bad Nauheim;685;52;0;108;50;0;0;64;94;0;18
Bad Orb;15;0;0;0;0;0;0;0;0;0;0
Bad Schwalbach;122;0;102;0;0;0;0;0;0;20;0
Bad Soden;409;3;22;0;0;0;0;0;0;0;0
Bad Wildungen;807;69;0;0;0;0;146;0;0;0;0
Bad Zwesten;105;0;0;0;0;0;65;0;0;0;0
Bensheim;134;60;0;0;0;0;0;0;0;0;0
Biedenkopf;108;58;0;0;0;0;0;0;0;0;0
Braunfels;264;0;97;0;0;0;80;0;0;68;0
Breuberg;31;0;0;0;0;0;0;0;0;0;0
Büdingen;148;59;0;0;0;0;0;0;0;0;0
Darmstadt;1557;175;90;0;0;0;99;27;0;0;0
Dillenburg;262;160;0;0;0;0;0;0;0;0;0
Ehringshausen;97;45;0;0;0;0;0;0;0;0;0
Eltville;194;0;0;0;0;0;0;0;0;0;0
Erbach;329;99;38;0;0;0;0;0;0;0;0
Eschwege;320;0;58;0;0;0;27;0;0;0;0
Frankenberg;191;85;26;0;0;0;0;0;0;0;0
Frankfurt;5205;745;204;208;0;0;311;34;42;35;40
Friedberg;342;180;62;0;0;0;0;0;0;0;0
Friedrichsdorf;74;0;0;0;0;0;0;0;0;0;0
Fritzlar;173;77;0;0;0;0;0;0;0;0;0
Fulda;1322;93;127;0;0;0;92;26;18;0;10
Gelnhausen;443;145;0;0;0;0;33;0;0;0;0
Gersfeld;34;0;0;0;0;0;10;0;0;0;0
Gießen;1972;178;68;0;0;0;120;0;58;34;0
Grebenhain;105;0;0;0;0;0;0;70;0;0;0
Groß-Gerau;145;100;0;0;0;0;0;0;0;0;0
Groß-Umstadt;318;0;52;58;0;0;0;0;0;0;0
Hadamar;120;0;0;0;0;0;0;0;0;0;0
Haina;112;0;0;0;0;0;0;0;0;0;0
Hanau;964;40;104;99;0;0;65;34;0;0;0
Heppenheim;464;0;0;0;0;0;0;0;0;10;0
Herborn;304;0;0;0;0;0;0;0;0;0;0
Hessisch Lichtenau;170;0;0;0;0;0;0;0;0;170;0
Hofgeismar;271;72;105;0;0;0;25;0;0;0;0
Hofheim;211;0;41;0;0;0;0;0;0;0;0
Hünfeld;171;112;0;0;0;0;0;0;0;0;0
Idstein;109;50;0;0;0;0;0;0;0;0;0
Immenhausen;107;0;0;0;0;107;0;0;0;0;0
Kassel;2757;385;16;155;0;0;252;57;47;165;11
Kaufungen;70;0;70;0;0;0;0;0;0;0;0
Kelkheim;10;0;0;0;0;0;0;0;0;0;0
Kiedrich;25;0;0;0;0;0;0;0;0;0;0
Königstein;275;18;24;0;0;0;20;0;0;0;0
Korbach;249;114;34;0;0;0;0;0;0;0;0
Lampertheim;96;46;50;0;0;0;0;0;0;0;0
Langen;407;0;0;0;0;0;0;16;0;0;0
Lauterbach;197;72;24;0;0;0;0;0;0;0;0
Leun;140;0;0;0;0;0;140;0;0;0;0
Lich;270;52;52;16;0;0;0;10;0;0;0
Limburg;446;0;0;0;0;0;52;31;0;0;8
Lorsch;88;0;0;0;0;0;0;0;0;0;0
Marburg;1483;91;54;73;0;0;114;0;25;0;18
Nidda;129;0;0;0;0;0;129;0;0;0;0
Oberursel;252;0;0;0;0;0;0;0;0;0;0
Offenbach;1149;219;51;0;0;0;118;0;0;64;0
Riedstadt;294;0;0;0;0;0;0;0;0;0;0
Rotenburg;334;91;0;89;0;0;21;0;47;0;0
Rüdesheim;145;44;36;0;0;0;0;0;0;0;0
Rüsselsheim;427;0;32;0;0;0;0;0;0;0;0
Schlüchtern;262;49;80;0;0;0;0;0;0;0;9
Schotten;151;69;19;0;0;0;0;0;0;0;0
Schwalmstadt;325;66;48;0;0;0;45;17;0;0;0
Seeheim-Jugenheim;98;0;0;0;0;0;0;0;0;0;0
Seligenstadt;253;119;60;0;0;0;7;0;0;0;0
Usingen;100;28;27;0;0;0;0;0;0;0;0
Viernheim;76;41;0;0;0;0;0;0;0;0;0
Volkmarsen;72;10;0;0;0;0;0;0;0;0;0
Weilburg;181;58;38;0;0;0;0;0;0;0;0
Weilmünster;137;0;0;0;0;0;51;0;0;0;0
Wesertal;115;31;0;0;0;0;84;0;0;0;0
Wetzlar;583;134;0;106;0;0;0;25;0;0;0
Wiesbaden;1839;97;64;0;1;0;160;34;;108;21
Witzenhausen;129;47;37;0;0;0;0;0;0;0;0
Wolfhagen;84;39;0;0;0;0;0;0;0;0;0
